código;descrição
1;A RASA
2;AT PINHEIRO
3;ANHANGUERA
4;ARICANDUVA
5;A ALVIM
6;B FUNDA
7;B VISTA
8;BELEM
9;B RETIRO
10;BRAS
11;BRASILANDIA
12;BUTANTA
13;CAMBUCI
14;CPO BELO
15;CPO GRANDE
16;CPO LIMPO
17;CANGAIBA
18;C REDONDO
19;CARRAO
20;C VERDE
21;C ADEMAR
22;C DUTRA
23;C LIDER
24;C TIRADENTE
25;CONSOLACAO
26;CURSINO
27;E MATARAZZO
28;FREGUESIA D
29;GRAJAU
30;GUAIANAZES
31;IGUATEMI
32;IPIRANGA
33;ITAIM BIBI
34;ITAIM PAULI
35;ITAQUERA
36;JABAQUARA
37;JACANA
38;JAGUARA
39;JAGUARE
40;JARAGUA
41;JD ANGELA
42;JD HELENA
43;JD PAULISTA
44;J BONIFACIO
45;LAJEADO
46;LAPA
47;LIBERDADE
48;LIMAO
49;MANDAQUI
50;MARSILAC
51;MOEMA
52;MOOCA
53;MORUMBI
54;N CACHOEIRI
55;PARELHEIROS
56;PARI
57;PRQ CARMO
58;PEDREIRA
59;PENHA
60;PERDIZES
61;PERUS
62;PINHEIROS
63;PIRITUBA
64;PTE RASA
65;R TAVARES
66;REPUBLICA
67;R PEQUENO
68;SACOMA
69;S CECILIA
70;SANTANA
71;S AMARO
72;S DOMINGOS
73;S LUCAS
74;S LUIS
75;S MATEUS
76;S MIGUEL
77;S RAFAEL
78;SAPOPEMBA
79;SAUDE
80;SE
81;SOCORRO
82;TATUAPE
83;TREMEMBE
84;TUCURUVI
85;VL ANDRADE
86;VL CURUCA
87;VL FORMOSA
88;VL JACUI
89;VL LEOPOLDI
90;VL MARIA
91;VL GUILHERM
92;VL MARIANA
93;VL MATILDE
94;VL MEDEIROS
95;VL PRUDENTE
96;VL SONIA
9999;OUTROS SP
0;Não informado
